Проект,Категории,Цена,Заявки
Настройка формирование чеков для интернет магазина,Веб-программирование,,2 заявки
Размещение на сайте 33 новых товаров с описанием характеристик,Наполнение сайтов,,1 заявка
Редактор информационных статей,Редактирование и Корректура,$300,17 заявок
Верстка сайта с натяжкой на WP + Visual Composer,HTML-верстка,,8 заявок
Python машинное обучение: выявить закономерности данных,Прикладное ПО,,3 заявки
Разработка дизайна дисконтной карты и флаера к ней,Дизайн продукции,,26 заявок
Разработка алгоритма укладки мозаики,Прикладное ПО,,6 заявок
Поправить верстку сайта на UMI.CMS (договорная),HTML-верстка,,5 заявок
Разработать приложение для Windows,Прикладное ПО,,7 заявок
Дизайн игрового портала,Дизайн сайтов,,21 заявка
Презентация отчета о проделанной работе,Презентации,,2 заявки
Программирование сайта Центр ЭКО Великий Новгород,HTML-верстка,,14 заявок
,,,
Короткие видео-ролики (до минуты),Видеомонтаж,,10 заявок
Связать шлюз OpenVOX 8G с SIM-банком GOIP 128,Системное администрирование,,2 заявки
Сделать промо видео ролик,Видеомонтаж,,11 заявок
Сделать транслитерации русских ссылок,Веб-программирование,,5 заявок
"Логотип, визитка, оформление входной группы. Дизайн сайта?!","Логотипы и Знаки, Дизайн сайтов",,27 заявок
Отрисовать в PSD формате макеты альбомов для школ,Иллюстрации и Рисунки,,6 заявок
Необходимо прикрутить к лендингу 2 сервиса,Веб-программирование,,1 заявка
ВКР тема: Совершенствование системы национальной безопансти РФ,"Рефераты, Курсовые и Дипломы",,6 заявок
Разработать дизайн проект офиса-магазина,Интерьеры и Экстерьеры,,15 заявок
Мобильное приложение под андроид,ПО для мобильных устройств,,12 заявок
Настроить рекламную кампанию (директ),Контекстная реклама,,24 заявки
Собрать семантику для сайта Яхт,Поисковые системы (SEO),,12 заявок
Востановления логина и пароля от хостинга,Системное администрирование,,4 заявки
Устный перевод с английского и французского под запись,Переводы,$150,3 заявки
Написание 3-х простых запросов к 2 таблицам,Базы данных,$5,15 заявок
Программист для сайта (версия движка ocStore-2.1.0.2.1),Интернет-магазины,,4 заявки
Верстка письма E-Mail,HTML-верстка,,10 заявок
Составить СЯ для сайта. Рус и Анг.,Поисковые системы (SEO),,8 заявок
Адаптивная верстка + framework + парсинг,"HTML-верстка, Веб-программирование",,9 заявок
Team lead Magento 1.9 удаленно,Системы управления (CMS),$1600,1 заявка
,,,
Этот же чертеж оформить в автокаде,Чертежи и Схемы,,11 заявок
Дизайнер сайтов,Дизайн сайтов,,22 заявки
Написание SEO статей в интернет магазин медицинской тематики,Копирайтинг,,12 заявок
Ищу редактора с филологическим образованием,Редактирование и Корректура,$110,22 заявки
Доработки сайта на CMS Битрикс,Веб-программирование,,8 заявок
Rs232+QT+С++,Прикладное ПО,,5 заявок
Angular 1x,Веб-программирование,,2 заявки
Присоеденить сайт по api к СРМ чтоб заявки попадали Сайт на adobe muse,Веб-программирование,,1 заявка
Исправление модуля в opencart 2.0,Веб-программирование,,2 заявки
Видеомонтаж,Видеомонтаж,,24 заявки
WHOIS для DLE,Веб-программирование,,1 заявка
Разработка приложения для смартфона по заполнению опросника,ПО для мобильных устройств,,4 заявки
Composing  ролик,Анимация,,5 заявок
Доска объявлений по продаже щенков на Wordpress,Сайты «под ключ»,$110,6 заявок
"Разработка афиши, и пригласительного на концерт",Дизайн продукции,,13 заявок
Отправка электронных писем вручную по базе 2гис,Управление проектами,$9,12 заявок
Нужно отредактировать вид меню и убрать пару фильтров на OpenCart,HTML-верстка,,3 заявки
SSL сертификат установка,Системное администрирование,,6 заявок
Настроить Яндекс Директ,Поисковые системы (SEO),,16 заявок
Срочно доверстать 2 блока,HTML-верстка,$8,15 заявок
,,,
Прикрепить скрипт к сайту поделиться в ВК,HTML-верстка,,1 заявка
Выполнить доработки по верстке на адаптивном сайте,HTML-верстка,,12 заявок
Иллюстрации к статьям на сайте,Иллюстрации и Рисунки,,22 заявки
Парсер товаров из XML в OpenCart + доп функционал,Веб-программирование,,4 заявки
Разработка сайта для жильцов дома. Дизайн(WordPress),Дизайн сайтов,,21 заявка
Срочно нужна редакция перевода с русского на арабский язык!,Редактирование и Корректура,,3 заявки
"Требуется спец :  ASP.NET MVC 5, T-SQL, JavaScript и jQuery",Веб-программирование,,3 заявки
Разработка программы для сканирования,Прикладное ПО,,2 заявки
Сделать дизайн главной - Обучение,Дизайн сайтов,$150,36 заявок
Правка вёрстки некоторых модулей на сайте (система Битрикс),HTML-верстка,,3 заявки
Баннер для сайта Парфюм и косметика,Баннеры,,17 заявок
Программа сравнения строчек,Прикладное ПО,,11 заявок
Контекстная реклама пункта приёма металлолома,Контекстная реклама,,21 заявка
Отбор и обработка фотографий с вечеринки,Обработка фотографий,,36 заявок
Доработка сайта на Wordpress,Веб-программирование,,3 заявки
Копирайт МЕД тематика,Копирайтинг,$30,14 заявок
Копирайт юридическая тематика,Копирайтинг,,3 заявки
Видеоролик для квестов в реальности,Анимация,,9 заявок
Сделать вебсайт компании на Wordpress,Системы управления (CMS),,16 заявок
Технические тексты на сайт производства мебели,Копирайтинг,,12 заявок
,,,
"Дизайнер для посадочной (landing) страницы, только PSD макет",Дизайн сайтов,,36 заявок
Мат методы С++,"Контрольные, Задачи и Тесты",,нет заявок
Эссе по философии,"Рефераты, Курсовые и Дипломы",,5 заявок
Эссе по книге о фотографии,Рерайтинг,,2 заявки
Написание модуля для продажи автобусных билетов и онлайн платежа,Веб-программирование,,6 заявок
Нужен Подарочный сертификат и макет листовки.,Дизайн продукции,,26 заявок
Выполнить доработки на сайте компании,HTML-верстка,,11 заявок
Программист на Wordpress,Системы управления (CMS),,11 заявок
Нужны правки и доработки по игровому проекту на Django,Веб-программирование,,2 заявки
Доработка проекта.,Сайты «под ключ»,,12 заявок
"Сделать лендинг ""под ключ"".  Быстро и дорого.",Дизайн сайтов,,22 заявки
Обновить сайт на Joomla с версии 1.5.26 до последней,Веб-программирование,,9 заявок
Создание логотипа заведения,Логотипы и Знаки,,36 заявок
Разработать сайт рейтинга компаний на примере person-agency.ru,Веб-программирование,,6 заявок
Программа для регистрации и информации о пациентах,Прикладное ПО,,13 заявок
Обеспечение максимально высокой скорости работы сайта на Magento,Веб-программирование,,2 заявки
Интересует стоимость изготовления изображения для шапки в группе вк.,Дизайн сайтов,,10 заявок
Доработка сайта,Веб-программирование,,11 заявок
Компоновка изображений и текстов,Дизайн сайтов,,7 заявок
Разработка каталога,Верстка полиграфии,,22 заявки
,,,
Перенос сайта с DLE на WordPress,Системы управления (CMS),,10 заявок
Верстка сайта в программе Adobe Muse,Сайты «под ключ»,,10 заявок
Настроить плагины на ВП,Тестирование сайтов,,4 заявки
Необходимо выполнить верстку одностраничника на WordPress,HTML-верстка,,14 заявок
Прозвон клиентов,Управление проектами,,8 заявок
Монтаж ролика 1 минута для инстаграм,Видеомонтаж,,32 заявки
"Внедрить доработки интернет-магазин на вордпрессе, вукомерц",Веб-программирование,,3 заявки
Логотип в шапку для информационного сайта,Дизайн сайтов,,10 заявок
Вычисления на CUDA. Реализовать алгоритм,Прикладное ПО,$25,4 заявки
Копирайтер,Копирайтинг,$100,15 заявок
Решить бдз по дискретной математике,"Контрольные, Задачи и Тесты",,1 заявка
Разработка логотипа,Логотипы и Знаки,,32 заявки
Модель в 3DS MAX по чертежу,3D-графика,,9 заявок
Контрольная: Анализ рынка труда,"Контрольные, Задачи и Тесты",,1 заявка
Наполнение нового раздела сайта,Наполнение сайтов,,22 заявки
Сделать подгрузку товаров при скроллинге,Веб-программирование,,2 заявки
"Нужна помощь по php, только Москва",Веб-программирование,,3 заявки
Отрисовка планировок (47 шт),Иллюстрации и Рисунки,,16 заявок
Нужен сценарист для написания топа про русский современный рэп.,Сценарии,$10,6 заявок
"Нужны тексты на темы: иммиграция, визы, гражданство",Рерайтинг,$810,11 заявок
,,,
JS Исправить проблему с FancyBox,HTML-верстка,$3,10 заявок
"Сделать рерайт и привести в порядок тексты, художественный рерайт",Редактирование и Корректура,$100,4 заявки
Настройка CloudFlare - защита контента сайта от парсинга,Веб-программирование,,1 заявка
Дизайн сайта,Дизайн сайтов,,28 заявок
Перенести сайт на Drupal,Системы управления (CMS),,5 заявок
Ищем художника в стиле pixel art,Иллюстрации и Рисунки,,9 заявок
"Срочно доработка компонента на joomla, компонент spproperty",Веб-программирование,,2 заявки
Выполнить правки по сайту Yii2,Веб-программирование,,5 заявок
Разработка логотипа для музыкальных товаров,Логотипы и Знаки,,29 заявок
Фотосессия шапок на модели,Фотосъемка,,2 заявки
Разработать дизайн интернет-магазина по макетам,Дизайн сайтов,$230,27 заявок
Адаптивная верстка рабочего магазина,HTML-верстка,,32 заявки
Собрать 10000 папок с картинками,Наполнение сайтов,,12 заявок
Верстка и установка на Diafan,"HTML-верстка, Системы управления (CMS)",,3 заявки
Нужно разработать макет корпуса контроллера для системы умного дома,Чертежи и Схемы,,5 заявок
Дизайн лендинга для партнерской прогр.+ верстка + адаптив,Дизайн сайтов,,15 заявок
Переводчик в Италии с итальянского и английского на русский,Переводы,,1 заявка
Настроить выбор способа доставки и типы оплаты ЕберШоп,Веб-программирование,,1 заявка
Русский платежный плагин Yandex Денег для Joomla Расширения,Веб-программирование,,3 заявки
Поднять openproject на сервере (Ruby),Веб-программирование,,нет заявок
,,,
Установить плагин кеширования для сайта на Wordpress,Системы управления (CMS),,8 заявок
Наполнение сайта на Dle,Наполнение сайтов,$5,нет заявок
Прикрутить верстку к битриксу,"HTML-верстка, Системы управления (CMS)",,14 заявок
AnyLogic 8.1.0 Простая имитационная модель контейнерного терминала,"Прикладное ПО, Финансовые услуги",,1 заявка
Скопировать сайт на Modx,Веб-программирование,,7 заявок
Ретушь+обтравка (мебель),Обработка фотографий,,10 заявок
Доработка 2-х сайтов,Веб-программирование,,4 заявки
Верстка и установка на Diafan,"HTML-верстка, Системы управления (CMS)",,2 заявки
Баскетбольный клуб,ПО для мобильных устройств,,8 заявок
"Логотип, фирменный стиль, баннеры, лейдинг-сайт","Логотипы и Знаки, Фирменный стиль",,24 заявки
Подключение TecDoc на сайт,Веб-программирование,,1 заявка
Правки на сайте (Битрикс),Системы управления (CMS),,10 заявок
Работа на PHP - сайт заливки и просмотра фото,Веб-программирование,,8 заявок
Необходимо нарисовать несколько десятков чертежей в Compas или Autocad,Чертежи и Схемы,$2,33 заявки
Сделать калькулятор на WP,Веб-программирование,,4 заявки
Реализация 3D глобуса на JS,"3D-графика, Веб-программирование",,2 заявки
Сверстать сайт из макета PSD на Angular 2 + bootstrap,HTML-верстка,,4 заявки
Добавления элементов на jooml'e,Системы управления (CMS),,16 заявок
Ищу опытного РАЗРАБОТЧИКА для разработки простого сайта о КУРСАХ ВАЛЮТ,Сайты «под ключ»,,14 заявок
Скрипт для поиска в Google,Веб-программирование,,3 заявки
,,,
Instagram,Социальные сети (SMM и SMO),,24 заявки
Синхронизация загрузки товаров на сайтах modx,Веб-программирование,,3 заявки
Перенести магазин на open cart на другой хостинг,Системы управления (CMS),,10 заявок
Добавить слайдер и текст на страницы Опенкарт Сопротект,Интернет-магазины,,3 заявки
Добавление около 100 статей на WP,Наполнение сайтов,,2 заявки
Адаптировать плагин для nopCommerce 4.0,Системы управления (CMS),,нет заявок
ТЗ. OpenCart. Здоровое Измерение. Создание сайта. Дизайн готов.,Интернет-магазины,,6 заявок
"JBoss drools - развернуть, опубликовать проект, настроить интеграцию",Системное программирование,,1 заявка
Интернет-магазин на PHP,Веб-программирование,,3 заявки
Перенос сайта с Drupal на MODX Revolution,Системы управления (CMS),,11 заявок
Нарисовать статейный сайт,Дизайн сайтов,$60,16 заявок
Бот (парсер) для автоматического добавления товара на Алиэкспреcc,Веб-программирование,,4 заявки
Функционал заказа расходных материалов сотрудником офиса,Веб-программирование,,нет заявок
Копирайтинг очень хорошего качества на автотематику,Копирайтинг,$20,9 заявок
Верстка проекта (адаптивная),HTML-верстка,,31 заявка
Cценарий для текстового квеста,Сценарии,,7 заявок
3D Max технологический процесс описание,3D-графика,,7 заявок
Консультация по настройке SyncThing или ее настройка,Системное администрирование,,нет заявок
TablePress (Выпадающий список),HTML-верстка,,4 заявки
Не отображаются превьюшки в модуле batcheditor,Веб-программирование,,1 заявка
,,,
Создать криптовалюту,Веб-программирование,,нет заявок
Реализовать скрипт выбора оплаты,Веб-программирование,,4 заявки
Просчитать экономику сдачи в аренду имеющейся в наличии недвижимости,Финансовые услуги,$10,5 заявок
Создать похожую работу,Прикладное ПО,,3 заявки
Php\python программист,Веб-программирование,,9 заявок
Ведение сайта и продвижение товарных позиций на prom.ua,Поисковые системы (SEO),,4 заявки
Создание компонента для Joomla 3+,Веб-программирование,,1 заявка
ВидеоМонтаж отдых Турция,Видеомонтаж,,40 заявок
Нарисовать логотип,Логотипы и Знаки,,40 заявок
Нужно натянуть сайт сделанный в Adobe Muse на Wordpress,Системы управления (CMS),,10 заявок
Разработка платежной системы,Системное программирование,,6 заявок
Сделать 6 похожих сайтов на Wordpress,HTML-верстка,,11 заявок
Нужен дизайн 6 сайтов одной большой компании.,Дизайн сайтов,,34 заявки
Анализатор кантинок php,Прикладное ПО,,1 заявка
Поместить ванну в нарисованную ванную комнату,Обработка фотографий,,16 заявок
Реклама в социальных сетях,Социальные сети (SMM и SMO),,12 заявок
Обработка готового клипа,Видеомонтаж,,11 заявок
Нужны 100 рерайт статей,Рерайтинг,$100,14 заявок
Создание дизайна для сайта раскрутки серверов cs 1.6,Дизайн сайтов,,16 заявок
Рерайт курсовой и выводы по главам,"Рефераты, Курсовые и Дипломы",,4 заявки
,,,
На сайте на Wordpress перестала работать форма отправления заявки,Веб-программирование,,11 заявок
Добавить виджет инстаграм и видеоотзывы на сайт wordpress,Веб-программирование,,3 заявки
Анализ релевантных страниц по запросам,Поисковые системы (SEO),,4 заявки
"Наполнение магазина товарами, с фото и описанием. 50-150 позиций.",Наполнение сайтов,,19 заявок
Сделать инфо парсер с Chrome-Store,Сайты «под ключ»,,6 заявок
Технический рисунок,Чертежи и Схемы,,7 заявок
Мне нужно создать копию лендинга box.boyko-sport.com,Системы управления (CMS),,6 заявок
Рерайт празднично-новостной тематики,Рерайтинг,$50,8 заявок
Нарисовать 8 иконок,Иконки и Пиксель-арт,,18 заявок
Нужно СЕО продвижение для сайта zher.kz,Социальные сети (SMM и SMO),,8 заявок
Javascript Разработчик / Удаленно / только Украина,Веб-программирование,,12 заявок
Сделать рерайт текста,Рерайтинг,,8 заявок
Скачать базу данных,Системное администрирование,,4 заявки
Сделать копии web-страниц,HTML-верстка,,16 заявок
Каталог на OpenCart,Веб-программирование,,5 заявок
Доработки карты метро,Системное администрирование,$15,1 заявка
Sketch to HTML (верстка email-рассылки),HTML-верстка,,7 заявок
Настроить купоны в Joomshoping,Системы управления (CMS),$25,5 заявок
Доработки на сайте вордпресс,Веб-программирование,,5 заявок
Настройка и поддержка обменика криптовалют,Веб-программирование,,3 заявки
,,,
"Требуется копирайтеры: Бухгалтерия, ЧП, Финансы и т.д.",Копирайтинг,$500,1 заявка
Написание SEO / LSI текстов для сайта (тема- таможенные услуги),Копирайтинг,,2 заявки
Сделать другой вывод категорий в DLE,Веб-программирование,,5 заявок
Публикация отзывов,Копирайтинг,,22 заявки
Поиск адресатов и подача заявок на гранты,Управление проектами,,4 заявки
Оставить положительный отзыв на Амазон,Копирайтинг,,нет заявок
Дизайн сайта (для вордпресс),Дизайн сайтов,,2 заявки
Иллюстрация,Иллюстрации и Рисунки,,18 заявок
Лабораторные работы по параллельному программированию,Лабораторные работы,$33,1 заявка
Сделать парсер,Веб-программирование,,15 заявок
Создание и сопровождение агрегатора вакансий,Веб-программирование,,6 заявок
Сделать дизайн двусторонней визитки 90 на 50,Иллюстрации и Рисунки,,22 заявки
Доработать функционал сайта,Веб-программирование,,6 заявок
Дизайн одностраничного сайта,Дизайн сайтов,,65 заявок
Перенос страниц в DRUPAL,Наполнение сайтов,,5 заявок
Доработка сайта на OpenCart,Веб-программирование,,5 заявок
Instagram,Социальные сети (SMM и SMO),,3 заявки
Создание анимационного видео,Анимация,,21 заявка
Сделать презентацию дизайна сайта,"Дизайн сайтов, Презентации",$10,7 заявок
Преобразовать стандартную форму Adobe Muse в пошаговую,Веб-программирование,,1 заявка
,,,
Создать новый движок для сайта,Системы управления (CMS),,13 заявок
Создание сайта обмена валют Туркменского маната на webmoney wmz,Веб-программирование,$150,9 заявок
Ищу исполнителя для создания экономической игры в вконтате,Веб-программирование,,1 заявка
Размещение постов в 20 блогах,Наполнение сайтов,,4 заявки
Составление ТЗ для копирайтеров через tz.binet.pro,Поисковые системы (SEO),,2 заявки
Требуется веб-дизайнер для образовательной платформы,Дизайн сайтов,,9 заявок
Необходимо сделать скрипт для вконтакте.,Веб-программирование,,7 заявок
Расшифровка аудио и видеозаписей,Транскрибация,,33 заявки
Нужен парсер для auto.ru,Веб-программирование,,8 заявок
Комментарии под фото в профиле инстаграм,Социальные сети (SMM и SMO),,45 заявок
Комментарии под фото в профиле инстаграм в тему профиля IPTV каналы,Копирайтинг,,9 заявок
Редактирование темы wordpress+создание парсера+ добавление новых функц,Системы управления (CMS),,2 заявки
Изменение текстуры в нескольких вариантах,Иллюстрации и Рисунки,,2 заявки
Дизайн интерьера квартиры,Интерьеры и Экстерьеры,,23 заявки
Дизайн тортов,3D-графика,,7 заявок
Копирайтер для лендинга,Копирайтинг,,6 заявок
Написание системы отчетов для Битрикс24,Веб-программирование,$300,2 заявки
Нужна помощь при замене железа на сервере терминалов hyper-v,Системное программирование,,1 заявка
Дизайн интерфейса (дизайн корпоратиного сайта),Дизайн сайтов,,2 заявки
Написание статей,Копирайтинг,,4 заявки
,,,
Выровнять старую либо сделать новую сетку товаров WOOCOMERCE,Системы управления (CMS),,5 заявок
Парсинг с сайта на сайт,Веб-программирование,,9 заявок
Написать темы,Копирайтинг,,5 заявок
Требуется скопировать с сайта фото,Обработка фотографий,,1 заявка
Сделать копию лендинга,HTML-верстка,,21 заявка
Оценка стоимости переноса сайта  на WP,Системы управления (CMS),,19 заявок
Генератор биткоин кошельков,Прикладное ПО,,1 заявка
Написать смарт-контракты для блокчейн-сервиса кредитования,Веб-программирование,,1 заявка
Разработка дизайна сайта по грузоперевозкам,Дизайн сайтов,,25 заявок
Написание статей для сайта.,Копирайтинг,,4 заявки
Ищу веб-программиста для реализации браузерного майнинга,Веб-программирование,,3 заявки
Идея,Системное программирование,,4 заявки
Верстальщик на Joomla,Веб-программирование,,4 заявки
Перевести видео в текст,Транскрибация,,10 заявок
Поисковые системы (SEO) на нім./анг. мовах для www.hotironrtub.com,Поисковые системы (SEO),,5 заявок
Написание рондомных писем.,Копирайтинг,,7 заявок
Доработка скрипта на php,Веб-программирование,,6 заявок
"Node.js Подключиться к сайту по wss, нужен steam акк",Веб-программирование,,1 заявка
Создание страницы продукта в Shopify,Интернет-магазины,,3 заявки
Размещение контента на сайте,Наполнение сайтов,,16 заявок
,,,
Развернуть сайт WP,Веб-программирование,,11 заявок
Добавить сайт в Я.Дзен,Поисковые системы (SEO),,нет заявок
Перевод на японский,Переводы,,6 заявок
Добавить рейтинг в сниппет звездочки google,Веб-программирование,,2 заявки
Перевод с русского на английский,Переводы,,39 заявок
Требуется разработать сайт на WordPress – Подготовка к ЕГЭ,Сайты «под ключ»,,9 заявок
Сверстать LP,HTML-верстка,$35,33 заявки
Разработка логотипа детской школы бега,Логотипы и Знаки,,23 заявки
Разобратся слицензированием стрим сервера,Системное программирование,$50,2 заявки
Оформление групп в фейсбуке и вконтакте,Социальные сети (SMM и SMO),,11 заявок
Смена движка и сделать реставрацию сайта,Веб-программирование,,6 заявок
Ecommerce php Project Laravel 5.5,Веб-программирование,,3 заявки
"Написание Тру стори, без эмоциональная с перечислением фактов",Копирайтинг,,3 заявки
Нужно привести целевую аудиторию в группу ВК,Социальные сети (SMM и SMO),,17 заявок
Проект на публицистическую тему,"Контрольные, Задачи и Тесты",,3 заявки
Создание проморолика приложения,Презентации,,9 заявок
Периодическое описание фильмов,Рерайтинг,,19 заявок
Написать скрипт для OpenCart 2.3.,Веб-программирование,,7 заявок
Нужна оптимизация видео на youtube,Поисковые системы (SEO),,5 заявок
Семантическое ядро. Ветеринарная тематика,Поисковые системы (SEO),$5,14 заявок
,,,
Создать сайт на опенкарт,Системы управления (CMS),$200,4 заявки
Адаптивная верстка лендинга,HTML-верстка,,8 заявок
PHP скрипт - парсер google maps places,Встраиваемые системы,,5 заявок
SOAP веб-сервис,Системное программирование,,8 заявок
Разработка приложения,"Системное программирование, ПО для мобильных устройств",,8 заявок
"Таргетолог ,Директолог нужен для создания Базы для работы по системе",Контекстная реклама,$17,2 заявки
Картинку для слайдера,Иллюстрации и Рисунки,,9 заявок
Создание PSD шаблона для фоновой картинки для постов на сайт,Веб-программирование,,3 заявки
"Ищу человека, который создаст мультик.",Анимация,,14 заявок
Обработка фотографий,Обработка фотографий,,55 заявок
Дизайн-проект двух комнатной 56 кв.м,Интерьеры и Экстерьеры,,32 заявки
Нужно сделать баннер gif,Баннеры,$10,28 заявок
Сео,Поисковые системы (SEO),,21 заявка
Сделать аудио заставку и джинглы,Музыка и Звуки,,11 заявок
Доработка формы обратной связи на сайте и других недоделок на сайте,Веб-программирование,,4 заявки
Создание баннеров,Баннеры,,16 заявок
Сайт для чайной компании,Сайты «под ключ»,$500,40 заявок
Нужен переводчик,Переводы,,14 заявок
"Программа ""Статистический учет""",Прикладное ПО,,5 заявок
Афиша для школьного вечера,Верстка полиграфии,$5,26 заявок
,,,
Необходим простой сайт на несколько страниц на любом движке,Сайты «под ключ»,,42 заявки
"ENGLISH - Статья для блога, традиционная медицина",Копирайтинг,$25,6 заявок
60 тысяч знаков,Рерайтинг,$100,25 заявок
Wordpress устранить косяк с пагинацией,Системы управления (CMS),$3,3 заявки
Выполнить несколько правок на ВП,Системы управления (CMS),,13 заявок
Внести изменения в готовое мобильное приложение на андроиде,Веб-программирование,,3 заявки
Короткие видео-ролики (до 30 сек) очень сочные и яркие!,Видеомонтаж,$5,10 заявок
Адаптивная верстка,HTML-верстка,,18 заявок
"Уникальные описания кредитных карт, онлайн-займов (мфо)",Копирайтинг,,12 заявок
Вэб верстка,HTML-верстка,,22 заявки
Комплексная рекламная  кампания,Контекстная реклама,,7 заявок
Дизайн сайта,Дизайн сайтов,$43,28 заявок
Доработка сайта на WordPress,Веб-программирование,,3 заявки
Сделать аналогичный калькулятор,Веб-программирование,,8 заявок
Дизайн строительного сайта,Дизайн сайтов,,31 заявка
Срочно нужен фотошопер,Обработка фотографий,,37 заявок
Интеграция с viber срочно,Веб-программирование,,1 заявка
Задание на ВордПрессе,Веб-программирование,,3 заявки
Информационная система для поддержки работы финансовой пирамиды,"Рефераты, Курсовые и Дипломы",,нет заявок
Верстальщик,HTML-верстка,,7 заявок
,,,
Требуется JS- программист,Веб-программирование,,5 заявок
Контент - менеджер информационные сайты,Наполнение сайтов,,4 заявки
Описание товаров (ТОЛЬКО МОСКВА),Копирайтинг,,1 заявка
Cтатьи для сайта стоматологической клиники,Копирайтинг,$1,8 заявок
Доработка сайта на Kohana,Веб-программирование,,3 заявки
Сайт визитка под ключ,Веб-программирование,,15 заявок
Расширение для Гугл Хром,Веб-программирование,,2 заявки
Приложение под ключ React native,Веб-программирование,,1 заявка
Ищу хорошего специалиста для работы с сайтом и брендом,"Дизайн сайтов, Веб-программирование",,15 заявок
Личный кабинет со статусом выполнения проекта,Веб-программирование,,5 заявок
PHP скрипт создающий из большого PDF Документа превью файл на 10 стр.,Веб-программирование,,5 заявок
Создание логотипа компании,Логотипы и Знаки,,40 заявок
Сайт с использованием денежных операций,Веб-программирование,,8 заявок
Внедрение продукта 1с-фитнес,1С-программирование,,1 заявка
"Проект Magento 1.9, доработка модулей",Интернет-магазины,,10 заявок
Добавить распознавание каптчи через антигейт в скрипт Яндекса,Веб-программирование,$8,3 заявки
Необходимо разработать технологическую документацию,Копирайтинг,,нет заявок
Доработка web приложения.,Веб-программирование,,3 заявки
Ищу программиста Битрикс24 коробка,Системное программирование,,2 заявки
Необходимо решить два типовых по Мат-анализу,"Контрольные, Задачи и Тесты",,4 заявки
,,,
Название и логотип компании,"Нейминг и Слоганы, Логотипы и Знаки",,21 заявка
Аудит и сео (seo) оптимизация с продвижением сайта на сервисе-каталоге,Поисковые системы (SEO),,8 заявок
Необходим функционал по отслеживанию грузов.,Веб-программирование,,3 заявки
Скачать 5 шаблонов сайтов,Наполнение сайтов,,3 заявки
Разработка сайта на laravel,Веб-программирование,,8 заявок
Переводчик с японского на русский,Переводы,,2 заявки
Разработка дизайна главной страницы сайта. Дальнейшее сотрудничество.,Дизайн сайтов,,22 заявки
Верстка сайта визитки,HTML-верстка,,67 заявок
Каталог товаров на Opencart,Веб-программирование,,2 заявки
Написание статей для размещения ссылок через сайт Miralinks,Копирайтинг,,1 заявка
Личный кабинет на Битрикс,Веб-программирование,,8 заявок
Бухгалтерский учёт,1С-программирование,,2 заявки
Cisco 8821 и Битрикс24,"Системное программирование, Прикладное ПО",,1 заявка
Перенос сайта с опенкарт Version 1.5.4.1 на современную версию или др,"Веб-программирование, Системное администрирование",,7 заявок
Настройка системы ZOOM для проведения вебинара,Веб-программирование,,нет заявок
"Перевод песни  ""замыкая круг"" на английский",Переводы,,14 заявок
Нужен SMM для продвижения проекта по торговле блокнотами,Социальные сети (SMM и SMO),,10 заявок
Составление ТЗ,Редактирование и Корректура,,2 заявки
Настройка эквайринга от Сбербанка WP,Системы управления (CMS),,3 заявки
